Orthogroup,ESL0353,ESL0351,ESL0350,ESL0354,ESL0186,ESL0185,ESL0184,ESL0183,ESL0263,ESL0260,ESL0261,wkb8
OG0001278,,2637898093,2641558505,2646684150,"2686073437, 2686074091",,2686077015,2686078921,,2760265426,2760267340,LACWKB8_0694
OG0001279,,"2637898201, 2637898533","2641558850, 2641559763",2646685305,,,"2686076821, 2686077116",,,2760266601,2760267452,LACWKB8_0302
OG0001280,,"2637898202, 2637898531, 2637898532",2641558849,,,"2686075428, 2686075548","2686076822, 2686077117",,2760261963,,2760267453,
OG0001281,,2637898211,2641558559,2646684198,2686073497,,2686077121,2686078967,2760261845,2760265496,2760267459,LACWKB8_0746
OG0001282,,2637898324,2641558659,2646684301,2686073613,2686075364,2686077214,2686079070,,2760265591,2760267566,LACWKB8_0858
OG0001283,,2637898487,2641558810,2646684450,2686073780,,2686077371,2686079219,2760262148,2760265740,2760267717,LACWKB8_1009
OG0001284,,2637898488,2641558811,2646684451,2686073781,,2686077372,2686079220,2760262149,2760265741,2760267718,LACWKB8_1010
OG0001285,,2637898489,2641558812,2646684452,2686073782,,2686077373,2686079221,2760262150,2760265742,2760267719,LACWKB8_1011
OG0001286,,2637898490,2641558813,2646684453,2686073783,,2686077374,2686079222,2760262151,2760265743,2760267720,LACWKB8_1012
OG0001287,,2637898491,2641558814,2646684454,2686073784,,2686077375,2686079223,2760262152,2760265744,2760267721,LACWKB8_1013
OG0001288,,2637898492,2641558815,2646684455,2686073785,,2686077376,2686079224,2760262153,2760265745,2760267722,LACWKB8_1015
OG0001289,,2637898494,2641558817,2646684457,2686073787,,2686077378,2686079226,2760262155,2760265747,2760267724,LACWKB8_1017
OG0001290,,2637898510,2641558827,2646684472,"2686073804, 2686074232",,2686077388,2686079241,,2760265757,2760267740,LACWKB8_1033
OG0001291,,2637898511,2641558828,2646684473,"2686073805, 2686074231",,2686077389,2686079242,,2760265758,2760267741,LACWKB8_1034
OG0001292,,2637898583,2641558945,2646684531,2686073868,,2686077442,2686079297,2760262225,2760265815,2760267817,LACWKB8_1094
OG0001293,,2637899021,2641559358,2646684910,2686074300,2686075979,2686077884,2686079694,2760262638,,2760268285,LACWKB8_1493
OG0001294,,2637899263,2641559610,2646685160,2686074533,,2686078138,2686079928,2760262831,2760266477,2760268550,LACWKB8_1742
OG0001295,,2637899264,2641559611,2646685161,2686074534,,2686078139,2686079929,2760262832,2760266478,2760268551,LACWKB8_1743
OG0001296,,2637899265,2641559612,2646685162,2686074535,,2686078140,2686079930,2760262833,2760266479,2760268552,LACWKB8_1744
OG0001297,,2637899362,2641559695,2646685244,2686074634,,2686078228,"2686080004, 2686080007",,2760266562,2760268629,LACWKB8_1815
OG0001298,,2637899374,2641559707,2646685255,2686074646,,2686078240,2686080020,2760262924,2760266575,2760268641,LACWKB8_1826
OG0001299,,2637899400,2641559722,,2686074410,,2686077745,,,"2760264901, 2760265414, 2760265691, 2760266612",2760268469,LACWKB8_1672
OG0001300,,,2641558036,2646685272,"2686073271, 2686073361",,"2686077609, 2686078000","2686079210, 2686079517",,,2760268104,LACWKB8_1296
OG0001301,,,,"2646683815, 2646683896, 2646684017, 2646685025",,,,"2686078577, 2686078674, 2686078797",,,,"LACWKB8_0332, LACWKB8_0437, LACWKB8_0569"
OG0001302,2632701618,2637897418,2641557857,2646683528,2686072781,,2686076290,,2760261225,2760264776,2760266654,
OG0001303,2632701622,,2641557853,2646683525,,2686074697,2686076286,2686078280,2760261231,2760264772,,LACWKB8_0022
OG0001304,2632701631,2637897441,2641557882,,"2686072800, 2686072802",,2686076313,,2760261249,2760264798,2760266671,
OG0001305,2632701632,2637897450,2641557892,,2686072806,2686074706,2686076318,,2760261258,2760264803,2760266680,
OG0001306,2632701699,2637897551,2641557981,,2686072901,,2686076410,2686078421,2760261330,2760264894,,LACWKB8_0158
OG0001307,2632701840,,2641557984,2646683889,,2686074939,2686076413,2686078667,2760261514,2760264900,,LACWKB8_0430
OG0001308,2632701937,2637897920,2641558357,,2686073257,2686075052,2686076863,,2760261624,2760265277,2760267158,
OG0001309,2632701942,2637897927,2641558364,,2686073263,2686075058,2686076870,,2760261629,2760265284,2760267164,
OG0001310,2632702035,2637898018,,2646684078,2686073358,2686075156,,2686078855,2760261730,,2760267257,LACWKB8_0627
OG0001311,2632702097,2637898092,,2646684149,2686073436,2686075218,,2686078920,2760261794,,2760267339,LACWKB8_0693
OG0001312,"2632702101, 2632702812",2637898097,2641558509,,,2686075222,2686077019,,2760261798,2760265430,2760267344,
OG0001313,2632702151,2637898237,2641558574,,2686073523,2686075282,2686077136,,2760261857,2760265511,2760267478,
OG0001314,2632702152,2637898238,2641558575,,2686073524,2686075283,2686077137,,2760261858,2760265512,2760267479,
OG0001315,2632702165,,,2646684221,2686073538,2686075296,2686076764,2686078991,2760261875,,,"LACWKB8_0780, LACWKB8_0781"
OG0001316,2632702233,2637898326,2641558661,,2686073615,2686075366,2686077216,,2760262004,2760265593,2760267568,
OG0001317,2632702385,2637898507,,2646684469,2686073801,2686075525,,2686079238,2760262167,,2760267737,LACWKB8_1030
OG0001318,2632702521,2637898664,2641559031,,2686073951,2686075662,2686077528,,2760262306,2760265902,2760267911,
OG0001319,2632702591,2637898735,2641559103,,2686074023,2686075733,2686077597,,2760262376,2760265971,2760267982,
OG0001320,2632702601,2637898743,2641559111,,2686074032,2686075742,2686077605,,2760262385,2760265979,2760267991,
OG0001321,2632702684,2637898837,2641559203,,2686074132,2686075832,2686077719,,2760262471,2760266074,2760268086,
OG0001322,2632702688,2637898775,2641559149,,2686074070,2686075836,2686077665,,2760262477,2760266020,2760268025,
OG0001323,2632702689,2637898776,2641559150,,2686074071,2686075837,2686077666,,2760262478,2760266021,2760268026,
OG0001324,2632702709,2637898847,2641559227,,2686074142,2686075859,2686077742,,2760262496,2760266094,2760268099,
OG0001325,"2632702710, 2632702711",,2641559224,2646684784,,2686075860,2686077739,2686079577,,2760266091,,LACWKB8_1365
OG0001326,2632702819,,2641559331,,2686074250,,,2686078283,"2760261224, 2760262605",2760266204,2760268215,LACWKB8_0025
OG0001327,2632702897,2637899094,,2646684983,2686074377,2686076056,,2686079764,2760262723,,2760268362,LACWKB8_1564
OG0001328,2632702967,2637899234,,2646685123,2686074504,,2686078112,2686079889,2760262814,2760266446,2760268523,
OG0001329,2632702989,2637899268,,2646685165,2686074538,2686076146,,2686079933,2760262837,,2760268555,LACWKB8_1747
OG0001330,2632703009,"2637899283, 2637899284",,,"2686074557, 2686074558",2686076165,,,2760262856,,"2760268570, 2760268571",
OG0001331,2632703023,,2641559646,2646685195,,2686076179,2686078177,2686079958,2760262870,2760266514,,LACWKB8_1769
OG0001332,2632703024,,2641559647,2646685196,,2686076180,2686078178,2686079959,2760262871,2760266515,,LACWKB8_1770
OG0001333,2632703050,2637899347,,2646685232,,2686076214,2686078214,2686079992,2760262902,2760266548,,LACWKB8_1803
OG0001334,2632703078,2637898415,2641558747,2646684390,2686073703,,2686077302,2686079159,,2760265679,2760267656,
OG0001335,2632703079,2637899383,2641559716,,2686074654,2686076242,2686078253,,2760262932,2760266588,2760268649,
OG0001336,,2637897409,2641558210,,,,2686076656,2686078652,2760261218,2760265132,"2760266641, 2760267013",LACWKB8_0411
OG0001337,,2637897436,2641557874,2646683543,2686072792,,2686076304,2686078298,,2760264790,2760266666,LACWKB8_0042
OG0001338,,2637897494,2641557925,2646683612,2686072847,,2686076358,2686078371,,2760264834,2760266718,LACWKB8_0115
OG0001339,,2637897499,2641557926,2646683613,2686072848,,2686076359,2686078372,,2760264835,2760266719,LACWKB8_0116
OG0001340,,2637897501,2641557928,2646683615,2686072850,,2686076361,2686078374,,2760264837,2760266721,LACWKB8_0118
OG0001341,,2637897502,2641557932,2646683616,2686072851,,2686076362,2686078375,,2760264841,2760266722,LACWKB8_0119
OG0001342,,2637897518,2641557948,2646683627,2686072867,,2686076379,2686078386,,2760264864,2760266738,LACWKB8_0129
OG0001343,,2637897521,2641557952,2646683630,2686072872,,2686076383,2686078389,,2760264867,2760266741,LACWKB8_0132
OG0001344,,2637897522,2641557953,2646683631,2686072873,,2686076384,2686078390,,2760264868,2760266742,LACWKB8_0133
OG0001345,,2637897523,2641557954,2646683632,2686072874,,2686076385,2686078391,,2760264869,2760266743,LACWKB8_0134
OG0001346,,2637897554,2641557987,2646683662,2686072904,,2686076416,2686078424,,2760264904,2760266772,LACWKB8_0161
OG0001347,,2637897555,2641557989,2646683663,2686072905,,2686076418,2686078425,,2760264906,2760266773,LACWKB8_0162
OG0001348,,2637897605,2641558035,2646683725,2686072959,,2686076483,2686078485,,2760264950,2760266818,LACWKB8_0226
OG0001349,,2637897613,2641558055,2646683740,2686072968,,2686076502,2686078500,,2760264969,2760266827,LACWKB8_0241
OG0001350,,2637897618,2641558060,2646683745,2686072973,,2686076507,2686078505,,2760264974,2760266832,LACWKB8_0246
OG0001351,,"2637897622, 2637897706",2641558144,2646683821,"2686072977, 2686073050",2686075951,,,,2760265061,2760266941,
OG0001352,,2637897624,2641558068,2646683754,2686072979,,2686076521,2686078514,,2760264982,2760266860,LACWKB8_0255
OG0001353,,2637897658,2641558109,2646683803,2686073011,,2686076554,2686078565,,2760265032,2760266900,LACWKB8_0319
OG0001354,,2637897659,2641558110,2646683804,2686073012,,2686076555,2686078566,,2760265033,2760266901,LACWKB8_0320
OG0001355,,2637897660,2641558111,2646683805,2686073013,,2686076556,2686078567,,2760265034,2760266902,LACWKB8_0321
OG0001356,,2637897661,2641558112,2646683806,2686073014,,2686076557,2686078568,,2760265035,2760266903,LACWKB8_0322
OG0001357,,2637897662,2641558113,2646683807,2686073015,,2686076558,2686078569,,2760265036,2760266904,LACWKB8_0323
OG0001358,,2637897663,2641558114,2646683808,2686073016,,2686076559,2686078570,,2760265037,2760266905,LACWKB8_0324
OG0001359,,2637897830,"2641558259, 2641559451",,2686073161,2686074952,2686076691,,2760261527,2760265177,2760267065,
OG0001360,,2637897836,2641558278,2646683904,2686073167,,2686076710,2686078682,,2760265196,2760267074,LACWKB8_0445
OG0001361,,2637897924,2641558361,2646684501,2686073261,,2686076867,2686079271,,2760265281,2760267162,LACWKB8_1063
OG0001362,,2637897984,2641558412,2646684037,,"2686075121, 2686075122",2686076918,,,2760265330,2760267225,LACWKB8_0590
OG0001363,,2637898120,2641558531,2646684174,2686073463,,2686077041,2686078944,,2760265454,2760267367,LACWKB8_0717
OG0001364,,2637898121,2641558532,2646684175,2686073464,,2686077042,2686078945,,2760265455,2760267368,LACWKB8_0718
OG0001365,,2637898122,2641558533,2646684176,2686073465,,2686077043,2686078946,,2760265456,2760267369,LACWKB8_0719
OG0001366,,2637898125,2641558536,2646684179,2686073468,,2686077046,2686078949,,2760265459,2760267372,LACWKB8_0722
OG0001367,,2637898126,2641558537,2646684180,2686073469,,2686077047,2686078950,,2760265460,2760267373,LACWKB8_0724
OG0001368,,2637898127,2641558538,2646684181,2686073470,,2686077048,2686078951,,2760265461,2760267374,LACWKB8_0725
OG0001369,,2637898133,2641558544,2646684187,2686073476,,2686077054,2686078957,,2760265467,2760267380,LACWKB8_0731
OG0001370,,"2637898146, 2637898539",,,,2686075264,"2686076763, 2686077066",,2760261839,"2760265483, 2760265484",2760267397,
OG0001371,,2637898168,2641558877,,,,"2686076791, 2686077090",2686079461,"2760261932, 2760262562",,2760267420,LACWKB8_1262
OG0001372,,2637898434,2641558769,2646684409,2686073729,,2686077321,2686079178,,2760265699,2760267675,LACWKB8_0968
OG0001373,,2637898436,2641558771,2646684411,2686073731,,2686077323,2686079180,,2760265701,2760267677,LACWKB8_0970
OG0001374,,2637898437,2641558772,2646684412,2686073732,,2686077324,2686079181,,2760265702,2760267678,LACWKB8_0971
OG0001375,,2637898438,2641558773,2646684413,2686073733,,2686077325,2686079182,,2760265703,2760267679,LACWKB8_0972
OG0001376,,"2637898473, 2637898729",2641559094,,"2686073766, 2686074017",,"2686077357, 2686077588",,,2760265962,2760267976,
OG0001377,,2637898509,2641558826,2646684471,2686073803,,2686077387,2686079240,,2760265756,2760267739,LACWKB8_1032
OG0001378,,2637898512,2641558829,2646684474,2686073806,,2686077390,2686079243,,2760265760,2760267742,LACWKB8_1035
OG0001379,,2637898597,2641558962,2646684544,2686073883,,2686077459,2686079310,,2760265832,2760267833,LACWKB8_1109
OG0001380,,2637898838,2641559204,2646684774,2686074133,,2686077720,2686079568,,2760266075,2760268087,LACWKB8_1348
OG0001381,,2637898839,2641559205,2646684775,2686074134,,2686077721,2686079569,,2760266076,2760268088,LACWKB8_1349
OG0001382,,2637898844,2641559211,2646684783,2686074139,,2686077726,2686079576,,2760266081,2760268095,LACWKB8_1355
OG0001383,,2637898854,2641559233,,"2686074148, 2686074149",,2686077751,,,2760266100,"2760268107, 2760268108, 2760268439",
OG0001384,,2637899022,2641559359,2646684911,2686074301,2686075980,,2686079695,2760262639,,2760268286,LACWKB8_1494
OG0001385,,2637899064,,"2646683873, 2646684952",2686074343,,2686077936,2686079733,,2760266288,2760268329,LACWKB8_1533
OG0001386,,2637899158,2641559506,2646685069,2686074445,,2686078034,2686079834,,2760266383,2760268428,LACWKB8_1638
OG0001387,,2637899171,,,,"2686074675, 2686076039",2686078052,,"2760261208, 2760262701",2760266395,"2760268447, 2760268475",
OG0001388,,2637899191,2641559527,2646685085,2686074465,,2686078062,2686079850,,2760266410,2760268473,LACWKB8_1654
OG0001389,,2637899217,2641559567,2646685104,2686074487,,2686078091,2686079871,,2760266431,2760268500,LACWKB8_1686
OG0001390,,2637899218,2641559568,2646685105,2686074488,,2686078092,2686079872,,2760266432,2760268501,LACWKB8_1687
OG0001391,,"2637899260, 2637899360",2641559694,,2686074530,,2686078227,,2760261364,2760266561,"2760268547, 2760268628",
OG0001392,,2637899270,2641559615,2646685166,2686074539,,2686078143,2686079934,,2760266482,2760268556,LACWKB8_1748
OG0001393,,2637899273,2641559620,2646685169,2686074542,,2686078147,2686079937,,2760266486,2760268559,LACWKB8_1751
OG0001394,,2637899274,2641559621,2646685170,2686074543,,2686078148,2686079938,,2760266487,2760268560,LACWKB8_1752
OG0001395,,2637899305,2641559652,2646685203,2686074582,,2686078184,2686079964,,2760266520,2760268589,LACWKB8_1775
OG0001396,,2637899319,2641559661,2646684051,2686074596,2686076193,2686078194,2686078834,,2760265346,,LACWKB8_0604
OG0001397,,2637899373,,2646685254,2686074645,,,"2686080017, 2686080018, 2686080019",2760262923,,2760268640,LACWKB8_1825
OG0001398,,,2641558159,2646683841,2686072801,,2686076604,2686078605,,"2760264797, 2760265085",2760266965,LACWKB8_0362
OG0001399,,,2641559318,,2686074359,2686076032,2686077833,,2760261240,"2760265001, 2760266187","2760266870, 2760268344",
OG0001400,,,2641559632,"2646683753, 2646685178",2686073061,,"2686076520, 2686078161",2686078513,,2760266501,,LACWKB8_0254
OG0001401,,,2641559633,"2646683752, 2646685179",2686073060,,"2686076519, 2686078162",2686078512,,2760266502,,LACWKB8_0253
OG0001402,,,"2641559825, 2641559861","2646683796, 2646685367",2686072954,,,2686078556,,2760266596,,"LACWKB8_0296, LACWKB8_0309"
OG0001403,,,,"2646684721, 2646685126",,,2686078115,"2686079514, 2686079892, 2686079893",,2760266450,,"LACWKB8_1294, LACWKB8_1707"
OG0001404,"2632701596, 2632701851",2637898951,2641558271,,,2686074963,2686076703,,2760261531,2760265189,,
OG0001405,2632701837,2637897798,,2646683881,2686073128,,,2686078659,2760261508,,2760267034,LACWKB8_0422
OG0001406,2632701838,2637897799,,2646683882,2686073129,,,2686078660,2760261509,,2760267035,LACWKB8_0423
OG0001407,2632702087,2637899190,,2646684130,,2686075208,,2686078908,2760261784,,2760268472,LACWKB8_0681
OG0001408,2632702088,2637899189,,2646684131,,2686075209,,2686078909,2760261785,,2760268471,LACWKB8_0682
OG0001409,2632702089,2637899188,,2646684132,,2686075210,,2686078910,2760261786,,2760268470,LACWKB8_0683
OG0001410,2632702100,2637898096,2641558508,,,2686075221,2686077018,,2760261797,2760265429,2760267343,
OG0001411,2632702103,2637899361,"2641557827, 2641559523",,,2686075224,2686078058,,2760261800,2760264750,,
OG0001412,2632702694,,2641558052,,,2686075842,2686076499,,2760262484,"2760264966, 2760266084",,LACWKB8_1358
OG0001413,2632702702,,2641559219,,,2686075852,2686077734,,"2760261645, 2760262489",2760266086,,LACWKB8_1360
OG0001414,2632702703,,"2641559220, 2641559450",,,2686075853,2686077735,,2760262490,2760266087,,LACWKB8_1361
OG0001415,2632702704,,2641559221,,,2686075854,2686077736,,"2760261640, 2760262491",2760266088,,LACWKB8_1362
OG0001416,2632702712,,2641559225,2646684785,,2686075861,2686077740,2686079578,,2760266092,,LACWKB8_1366
OG0001417,2632702770,,"2641558903, 2641559129",,,,,2686079482,"2760261906, 2760262550",,2760268164,LACWKB8_0778
OG0001418,2632702771,,2641558890,,,,"2686076777, 2686077077, 2686077633",,"2760261917, 2760262551",,,LACWKB8_0777
OG0001419,2632702782,"2637898249, 2637898250",,2646684220,,,,2686078989,2760262560,,2760267492,LACWKB8_0779
OG0001420,,"2637897464, 2637898470",,2646683800,2686073763,,2686077354,2686078562,2760261238,,,LACWKB8_0316
OG0001421,,2637897504,2641557933,2646683617,2686072853,,2686076364,2686078376,,2760264843,2760266724,
OG0001422,,2637897686,,2646685184,2686073029,,2686076563,2686079947,2760261233,,2760266921,LACWKB8_1758
OG0001423,,"2637897687, 2637899241",,,"2686073030, 2686074511",,"2686076564, 2686078117",,,,"2760266922, 2760268528",
OG0001424,,"2637897785, 2637898073",,2646683705,"2686073062, 2686073415",,,2686078465,,,2760267311,LACWKB8_0204
OG0001425,,2637897809,2641558231,,"2686073056, 2686073140",,2686076673,,2760261511,2760265149,2760267046,
OG0001426,,2637897817,2641558249,,2686073148,2686074941,2686076681,,2760261516,2760265167,2760267055,
OG0001427,,2637897819,2641558251,,2686073150,2686074943,2686076683,,2760261518,2760265169,2760267057,
OG0001428,,2637897825,2641558254,,2686073156,2686074946,2686076686,,2760261521,2760265172,2760267060,
OG0001429,,2637897826,2641558255,,2686073157,2686074947,2686076687,,2760261522,2760265173,2760267061,
OG0001430,,2637897991,,2646684040,2686073331,,2686076923,2686078818,,2760265335,2760267230,LACWKB8_0593
OG0001431,,"2637898200, 2637898534",2641558851,,,2686075426,"2686076820, 2686077115",,2760261961,,2760267451,
OG0001432,,2637898205,,,2686073938,"2686075266, 2686075545",2686076824,,2760261841,2760265886,2760267898,
OG0001433,,2637898325,2641558660,,2686073614,2686075365,2686077215,,,2760265592,2760267567,LACWKB8_0859
OG0001434,,2637898441,2641558776,,2686073736,,2686077328,,2760262779,2760265706,2760267682,LACWKB8_0975
OG0001435,,2637898442,2641558777,,2686073737,,2686077329,,2760262780,2760265707,2760267683,LACWKB8_0976
OG0001436,,2637898443,2641558778,,2686073738,,2686077330,,2760262781,2760265708,2760267684,LACWKB8_0977
OG0001437,,2637898500,2641559827,2646685369,2686073793,,,,,,"2760267730, 2760267861, 2760267862, 2760268103",
OG0001438,,2637898598,2641558963,2646684545,2686073884,,2686077460,2686079311,,2760265833,2760267834,
OG0001439,,2637898911,2641559289,2646684844,2686074202,,,2686079635,2760261710,2760266153,,LACWKB8_1419
OG0001440,,2637899172,"2641559518, 2641559766",2646685308,2686074456,,2686078053,,,2760266396,2760268448,
OG0001441,,2637899173,,2646685079,2686074457,,2686076274,2686079843,,2760266397,2760268449,LACWKB8_1647
OG0001442,,2637899192,2641559538,2646685093,2686074468,,2686078072,2686079858,,,2760268474,LACWKB8_1664
OG0001443,,2637899202,2641559531,2646685089,2686074472,,2686078066,2686079853,,,2760268482,LACWKB8_1659
OG0001444,,2637899206,2641559535,2646685090,2686074476,,2686078070,2686079857,,,2760268486,LACWKB8_1663
OG0001445,,2637899226,,2646685116,2686074499,,2686078105,2686079883,,,"2760268512, 2760268515",LACWKB8_1699
OG0001446,,2637899318,"2641558108, 2641559660",2646684052,2686074595,,2686078193,2686078835,,,,LACWKB8_0605
OG0001447,,2637899325,2641559667,,2686074602,2686076199,2686078200,,2760262887,2760266531,2760268601,
OG0001448,,2637899327,2641559668,,2686074603,2686076200,2686078201,,2760262888,2760266532,2760268602,
OG0001449,,2637899372,,2646685253,2686074644,,2686078239,2686080016,,2760266572,2760268639,LACWKB8_1824
OG0001450,,,2641557823,"2646683523, 2646685180, 2646685181",2686073119,,"2686076270, 2686076439",,,2760265448,,
OG0001451,,,"2641558028, 2641559564",2646683717,,,"2686076476, 2686078088",2686078476,,2760266428,,LACWKB8_0216
OG0001452,,,"2641558134, 2641558591",,"2686073722, 2686074549",,,"2686078582, 2686079943",,2760265051,,LACWKB8_0338
OG0001453,,,"2641558577, 2641558582",,,2686075285,"2686077139, 2686077144",,2760261860,"2760265514, 2760265519",,
OG0001454,,,2641559018,2646685147,2686073425,,2686077515,2686079914,,2760265889,2760267327,LACWKB8_1728
OG0001455,,,"2641559541, 2641559543",2646683522,2686074470,,2686078074,2686079860,,2760266413,2760268479,
OG0001456,2632701614,,2641557815,2646683516,,,2686076262,2686078274,,2760264746,2760266643,
OG0001457,"2632701766, 2632703103",,2641558083,,,2686074843,2686076536,,2760261401,2760265014,,
OG0001458,2632701839,,2641557983,2646683888,,,2686076412,2686078666,,2760264899,,LACWKB8_0429
OG0001459,2632701843,,2641558262,,,2686074955,2686076694,,"2760261530, 2760262716",2760265180,,
OG0001460,2632701941,2637897926,2641558363,,,2686075056,2686076869,,2760261628,2760265283,,
OG0001461,2632701964,"2637897943, 2637898956",,,2686073283,2686075079,,,2760261660,,2760267181,
OG0001462,"2632701965, 2632701966",2637897944,,,2686073284,"2686075080, 2686075081",,,,,2760267182,
OG0001463,"2632702582, 2632702987",,,2646685158,,2686075723,,2686079925,2760262367,,,LACWKB8_1739
OG0001464,2632702614,2637899001,,,,2686075755,2686077626,,2760262399,2760265995,2760268265,
OG0001465,"2632702696, 2632702699",,,,,2686075849,,,"2760262486, 2760262933, 2760262935, 2760262936",,,
OG0001466,2632702813,2637897972,,,2686073312,,2686076907,,,,"2760267211, 2760267865",LACWKB8_1678
OG0001467,2632703010,2637899285,,,2686074559,2686076166,,,2760262857,,"2760268169, 2760268572",
OG0001468,,"2637897446, 2637897791, 2637898224",2641557888,,2686073510,,,,,,"2760266676, 2760267472",
OG0001469,,2637897548,2641557979,,2686072899,,2686076408,2686078418,,,2760266768,LACWKB8_0156
OG0001470,,2637897550,"2641559767, 2641559768","2646685309, 2646685310",,,,2686078420,,,2760267025,
OG0001471,,2637897553,,2646683661,2686072903,,,2686078423,,2760264757,2760266771,LACWKB8_0160
OG0001472,,2637897657,2641558100,,2686073010,,2686076553,,,2760265031,2760266899,LACWKB8_0312
OG0001473,,"2637897669, 2637897675",,2646685056,,,,2686079821,,,"2760266858, 2760266911",LACWKB8_1625
OG0001474,,2637897679,"2641558116, 2641558761",,2686073017,,2686076561,,,2760265039,2760266915,
OG0001475,,"2637897716, 2637899339",,,2686074615,2686074869,2686076592,,,2760265071,2760266951,
OG0001476,,2637897767,2641558209,,,,2686076655,2686078651,,2760265131,2760267012,LACWKB8_0410
OG0001477,,2637897800,2641559353,,2686073130,2686074930,2686077878,,,2760266230,2760267036,
OG0001478,,2637897805,2641559347,,2686073135,2686074935,2686077872,,,2760266224,2760267041,
OG0001479,,2637897806,2641559346,,2686073136,2686074936,2686077871,,,2760266223,2760267042,
OG0001480,,2637897917,2641558128,,2686073254,,,,"2760261437, 2760261621",2760265045,2760267155,
OG0001481,,2637897981,,2646684030,2686073320,2686075118,2686076914,,,,2760267219,LACWKB8_0587
OG0001482,,2637898045,2641558472,,2686073388,,2686076981,,2760261757,2760265392,2760267284,
OG0001483,,2637898046,2641558473,,2686073389,,2686076982,,2760261758,2760265393,2760267285,
OG0001484,,2637898141,2641558553,,2686073488,,2686077061,,,2760265477,2760267392,LACWKB8_0743
OG0001485,,2637898149,2641558900,,2686073544,,2686077069,2686079478,,2760265485,2760267400,
OG0001486,,"2637898150, 2637898536",2641558899,,,,2686077070,2686079477,,2760265486,2760267401,
OG0001487,,2637898165,2641558880,,,,"2686076779, 2686076782",2686079464,2760261921,,2760267417,
OG0001488,,2637898167,2641558878,,,,"2686076790, 2686077089",2686079462,2760261931,,2760267419,
OG0001489,,2637898234,,2646683644,"2686073520, 2686074266",2686075962,,2686078402,2760261641,,,
OG0001490,,2637898505,,2646684466,2686073799,,,2686079235,2760262163,,2760267735,LACWKB8_1027
OG0001491,,2637898506,,2646684468,2686073800,,,2686079237,2760262166,,2760267736,LACWKB8_1029
OG0001492,,"2637898852, 2637898853",2641559232,,2686074147,,2686077750,,,2760266099,2760268106,
OG0001493,,2637899102,,2646684991,2686074385,,,2686079772,2760262731,,2760268370,LACWKB8_1573
OG0001494,,2637899103,,2646684992,2686074386,,,2686079773,2760262732,,2760268371,LACWKB8_1574
OG0001495,,2637899104,,2646684993,2686074387,,,2686079774,2760262733,,2760268372,LACWKB8_1575
OG0001496,,2637899105,,2646684994,2686074388,,,2686079775,2760262734,,2760268373,LACWKB8_1576
OG0001497,,2637899106,,2646683524,2686074389,,,2686078279,2760261230,,2760268374,LACWKB8_0021
OG0001498,,2637899164,2641559513,2646685077,2686074451,,2686078047,2686079841,,,2760268434,
OG0001499,,2637899203,2641559532,,2686074473,,2686078067,2686079854,,,2760268483,LACWKB8_1660
OG0001500,,2637899204,2641559533,,2686074474,,2686078068,2686079855,,,2760268484,LACWKB8_1661
OG0001501,,2637899205,2641559534,,2686074475,,2686078069,2686079856,,,2760268485,LACWKB8_1662
OG0001502,,2637899225,,2646685115,2686074498,,2686078104,2686079882,,,2760268511,LACWKB8_1698
OG0001503,,2637899237,2641559582,,2686074507,,2686078114,,,"2760266194, 2760266449",2760268526,
OG0001504,,2637899310,,2646685207,2686074588,,,2686079970,2760262824,,2760268595,LACWKB8_1780
OG0001505,,2637899311,,2646685208,2686074589,,,2686079971,2760262823,,2760268596,LACWKB8_1781
OG0001506,,2637899312,,2646685209,2686074590,,,2686079972,2760262822,,2760268597,LACWKB8_1782
OG0001507,,2637899388,2641559452,2646684371,2686074659,,,2686079140,,,2760268654,LACWKB8_0931
OG0001508,,,2641557828,,2686072773,,2686076271,2686078278,,2760264751,2760266646,LACWKB8_0020
OG0001509,,,2641558141,"2646685020, 2646685061",2686073027,,,2686079826,,2760265058,,LACWKB8_1630
OG0001510,,,2641558353,2646685047,,,2686076851,2686079813,,2760265273,,"LACWKB8_0526, LACWKB8_1616"
OG0001511,,,2641559575,2646685109,2686074493,,2686078098,2686079876,,2760266438,2760268506,
OG0001512,,,,"2646684891, 2646685217",,,,"2686079674, 2686079978",2760262607,,,"LACWKB8_1460, LACWKB8_1788"
OG0001513,,,,,2686073871,,,,2760261504,2760265325,"2760267820, 2760267821","LACWKB8_1096, LACWKB8_1097"
OG0001514,2632701623,,2641557855,,,2686074698,2686076288,,2760261235,2760264774,,
OG0001515,"2632701624, 2632701626",,,,,2686074699,,,"2760261241, 2760261244, 2760262815",,,
OG0001516,"2632701625, 2632701627",,,,,2686074700,,,"2760261242, 2760261243, 2760261245",,,
OG0001517,2632701701,,2641557988,,,2686074780,2686076417,,2760261332,2760264905,,
OG0001518,2632701930,,2641557851,,,2686075045,2686076284,,2760261611,2760264770,,
OG0001519,2632701931,,2641557852,,,2686075046,2686076285,,2760261612,2760264771,,
OG0001520,2632701945,,,2646683983,,2686075060,,2686078763,2760261632,,,LACWKB8_0533
OG0001521,2632701970,2637897948,,,2686073288,2686075085,,,2760261661,,2760267186,
OG0001522,2632701972,2637897950,,,2686073290,2686075087,,,2760261663,,2760267188,
OG0001523,2632702154,2637898240,,,"2686073124, 2686073526",2686075286,,,2760261861,,,
OG0001524,2632702607,,2641559119,,,2686075748,2686077618,,2760262392,2760265987,,
